City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,Imbituba,-28.24,-48.6703,71.19,69,54,14.25,BR,2022-06-05 18:17:42
222,Almeirim,-1.5233,-52.5817,83.3,74,79,3.91,BR,2022-06-05 18:20:08
223,Esso,55.9333,158.7,43.75,73,15,1.59,RU,2022-06-05 18:20:09
224,Hay River,60.8156,-115.7999,76.98,25,75,17.27,CA,2022-06-05 18:20:09
225,Fiche,9.8,38.7333,57.72,48,62,4.25,ET,2022-06-05 18:20:09
226,Sao Filipe,14.8961,-24.4956,77.18,67,3,9.17,CV,2022-06-05 18:20:10
227,Lianyuan,27.6883,111.6642,72.59,91,85,2.46,CN,2022-06-05 18:20:10
228,Pandan,14.0453,124.1694,78.67,83,94,4.47,PH,2022-06-05 18:20:10
229,Laguna,38.421,-121.4238,71.47,76,100,8.05,US,2022-06-05 18:17:48
230,Zambezi,-13.5432,23.1047,59.13,52,13,6.17,ZM,2022-06-05 18:21:11
231,Kayes,14.0,-11.0,100.76,24,60,7.36,ML,2022-06-05 18:21:11
232,Hermanus,-34.4187,19.2345,60.8,67,35,9.6,ZA,2022-06-05 18:21:12
233,Arshan,46.2732,44.22,80.46,18,100,8.95,RU,2022-06-05 18:21:12
234,Hohhot,40.8106,111.6522,57.49,54,0,4.47,CN,2022-06-05 18:16:42
235,Taltal,-25.4,-70.4833,66.54,63,32,3.33,CL,2022-06-05 18:21:12
236,Toowoomba,-27.55,151.9667,57.25,95,100,8.01,AU,2022-06-05 18:21:13
237,Namibe,-15.1961,12.1522,76.37,48,65,8.01,AO,2022-06-05 18:21:13
238,Tsuyama,35.05,134.0,62.83,98,100,13.94,JP,2022-06-05 18:19:38
239,Santa Maria,-29.6842,-53.8069,61.9,100,100,3.44,BR,2022-06-05 18:21:14
240,Ternate,0.8,127.4,79.92,80,47,3.38,ID,2022-06-05 18:21:14
241,Chateaudun,48.0833,1.3333,70.95,70,64,10.8,FR,2022-06-05 18:21:15
242,Ilebo,-4.3167,20.5833,77.86,52,69,1.36,CD,2022-06-05 18:21:15
243,Cherskiy,68.75,161.3,35.58,65,8,9.86,RU,2022-06-05 18:21:15
244,Hovd,48.0056,91.6419,58.23,33,82,16.75,MN,2022-06-05 18:21:16
